name,calories,protein,carbs,fat,sugar,sodium,saturated_fat,fiber
"PARMESAN CHS TOPPING,FAT FREE",370.0,35.62,40.0,5.0,1.5,1150.0,3.11,0.0
"CHEESE,CREAM,FAT FREE",105.0,15.69,7.66,1.0,5.48,702.0,0.644,0.0
"YOGURT,CHOC,NONFAT MILK",112.0,3.53,23.53,0.0,14.97,135.0,0.0,0.0
KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,276.0,12.0,9.2,21.0,6.7,1638.0,13.1,0.0
KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,215.0,16.3,16.2,9.5,8.2,1705.0,6.4,0.0
KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,148.0,22.7,11.7,1.0,6.7,1298.0,0.7,0.0
KRAFT VELVEETA PAST PROCESS CHS SPRD,303.0,16.3,9.8,22.0,8.1,1499.0,14.4,0.0
KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,222.0,19.6,11.8,10.6,8.5,1586.0,7.1,0.0
KRAFT BREAKSTONE'S RED FAT SOUR CRM,152.0,4.5,6.5,12.0,6.4,59.0,7.6,0.0
KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,91.0,4.7,15.1,1.3,7.2,72.0,0.8,0.0
KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),96.0,3.8,18.2,0.8,17.4,52.0,0.5,0.0
KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),108.0,3.2,21.9,0.8,19.6,45.0,0.5,0.0
KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),102.0,3.8,19.9,0.9,17.2,55.0,0.5,0.0
KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),55.0,3.4,9.9,0.2,7.7,45.0,0.1,0.0
"CREAM,HALF & HALF,FAT FREE",59.0,2.6,9.0,1.4,5.0,100.0,0.841,0.0
REDDI WIP FAT FREE WHIPPED TOPPING,149.0,3.0,25.0,5.0,16.0,72.0,2.869,0.0
